adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/vVBcIN68kFq681b4lObiNJhEVro.jpg,"[18, 10749]",453,en,A Beautiful Mind,"John Nash is a brilliant but asocial mathematician fighting schizophrenia. After he accepts secret work in cryptography, his life takes a turn for the nightmarish.",28.131,/zwzWCmH72OSC9NA0ipoqw5Zjya8.jpg,2001-12-11,A Beautiful Mind,False,7.9,8863
False,/k7GM13qRYSour3lk90Dq1EwdpoW.jpg,"[18, 53, 9648]",2649,en,The Game,"In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a cold-hearted loner, receives an unusual present from his younger brother, Conrad: a gift certificate to play a unique kind of game. In nary a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.",20.62,/4UOa079915QjiTA2u5hT2yKVgUu.jpg,1997-09-12,The Game,False,7.6,5411
False,/7aWpb0sfGteTomS9DP5NWDeD7DL.jpg,"[80, 18, 53]",9366,en,Donnie Brasco,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,16.49,/xtKLvpOfARi1XVm8u2FTdhY5Piq.jpg,1997-02-27,Donnie Brasco,False,7.5,3709
False,/6EX31EmX6lo0SPZB93Ls2ReBfbd.jpg,"[28, 53, 80]",1948,en,Crank,"Chev Chelios, a hit man wanting to go straight, lets his latest target slip away. Then he awakes the next morning to a phone call that informs him he has been poisoned and has only an hour to live unless he keeps adrenaline coursing through his body while he searches for an antidote.",19.654,/toaY9CoMAy37QNv8HbbUqWS4X1Q.jpg,2006-08-31,Crank,False,6.6,3115
False,,[27],931332,en,Klan,"Following a sudden death in her family, a woman travels to her mother’s childhood home in rural Scotland, seeking closure. While there she discovers her family were part of an ancient pagan community. Things turn darkly sinister when they try to recruit her.",0.663,/pLldfdU1hLVNvzmIfQmbPbhATWa.jpg,2019-05-01,Klan,False,5.5,2
False,/pvh2cyUUu7BYghoRqlV9jsd5Pdh.jpg,"[35, 878, 10751]",9612,en,Coneheads,"A pair of aliens arrive on Earth to prepare for invasion, but crash instead. With enormous cone-shaped heads, robotlike walks and an appetite for toilet paper, aliens Beldar and Prymatt don't exactly blend in with the population of Paramus, N.J. But for some reason, everyone believes them when they say they're from France.",17.257,/2HLX4Kc15FOA1HHjOl0AuKex6ym.jpg,1993-07-23,Coneheads,False,5.3,760
False,/oaT5yMG61XetddVmymGrDVeoCg4.jpg,"[878, 53, 35]",4723,en,Southland Tales,"Set in the futuristic landscape of Los Angeles on July 4, 2008, as it stands on the brink of social, economic and environmental disaster. Boxer Santaros is an action star who's stricken with amnesia. His life intertwines with Krysta Now, an adult film star developing her own reality television project, and Ronald Taverner, a Hermosa Beach police officer who holds the key to a vast conspiracy.",10.593,/7dbIDQ80z4bxiDlAvxRwc5TI44C.jpg,2007-11-14,Southland Tales,False,5.1,443
False,/kaoTwHrJDmCPDLriN68pjlgx4R.jpg,"[10402, 18, 36]",614934,en,Elvis,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",114.149,/qBOKWqAFbveZ4ryjJJwbie6tXkQ.jpg,2022-06-22,Elvis,False,7.8,1795
False,,[18],182026,en,Stranger Things,"Oona, a recent graduate in anthropology, has returned to her dead mother’s seaside cottage in southern England to prepare it for sale. Her arrival disturbs Mani, a wary vagrant who has been squatting on the property.",20.69,/4TKdguyacjYrC1Hnbi3PjSP8r3M.jpg,2013-04-05,Stranger Things,False,8.7,59
False,,[18],452830,en,Black Mirror,"A nameless drifter navigates a barren landscape punctuated by satellite dishes, radio towers and droning airplanes. Stopping periodically in anonymous hotel rooms, she makes attempts to connect to an unidentified second party.",6.886,/fYi4BQhoj2ay3oJwT2x8kMNHpds.jpg,2011-06-20,Black Mirror,False,7.6,49
